ID,Category,Title,Author / Institution,Resource type,Description,Relevance for RC42,Suggested placement,URL,Tags,Access type,Language,Region scope,Verification status,Notes,Priority rank,Source type
RC42-R001,Publications,Social Psychology Quarterly,American Sociological Association / SAGE,Journal,"Core journal for sociological social psychology. It publishes theoretical and empirical work on the link between individuals, groups, institutions, and social structure.",High,Publications,https://journals.sagepub.com/home/SPQ,journal; sociological social psychology; interaction; self and society; social structure,Mixed access / subscription,English,International,Verified official source,Essential reference point; link to journal page rather than hosting PDFs.,1,External
RC42-R003,Publications,Handbook of Social Psychology,"John DeLamater & Amanda Ward, eds. / Springer",Handbook,"Broad handbook covering major theoretical perspectives and topics in social psychology, including interactionist, identity, social exchange, and social structure approaches.",High,Publications,https://link.springer.com/book/10.1007/978-94-007-6772-0,handbook; theory; identity; interactionism; social exchange; social structure,Subscription / purchase,English,International,Verified official source,"Recommended as a reference link, not as a hosted file.",2,External
RC42-R004,Publications,Handbook of the Social Psychology of Inequality,"Jane D. McLeod, Edward J. Lawler & Michael Schwalbe, eds. / Springer",Handbook,"Major reference on how social psychological processes mediate, reproduce, and contest inequality. Strong fit for RC42 themes on status, power, identity, stigma, and justice.",High,Publications,https://link.springer.com/book/10.1007/978-94-017-9002-4,inequality; status; power; stigma; justice; intersectionality; handbook,Subscription / purchase,English,International,Verified official source,Strong candidate for the first publication list.,3,External
RC42-R005,Publications,Contemporary Social Psychological Theories,"Peter J. Burke, ed. / Stanford University Press",Book,"Presents major theory programs in sociological social psychology, including identity, exchange, affect control, expectation states, and related approaches.",High,Publications,https://www.sup.org/books/sociology/contemporary-social-psychological-theories/excerpt/table-contents,theory; identity theory; exchange theory; affect control theory; expectation states; symbolic interactionism,Book / purchase; excerpt available,English,International,Verified official source,Useful for theory-oriented teaching and reading lists.,4,External
RC42-R006,Publications,Social Identity: Sociological and Social Psychological Perspectives,Social Psychology Quarterly / JSTOR,Special issue,"Classic special issue connecting social identity theory with sociological and social psychological perspectives. Useful for identity, group processes, and boundary-making themes.",High,Publications,https://www.jstor.org/stable/i267679,social identity; identity; group processes; special issue; classic,JSTOR / institutional access,English,International,Verified academic source,Classic resource; check access conditions before presenting as open.,0,External
RC42-R007,Publications,Emotions and Society,Bristol University Press,Journal,"Interdisciplinary journal focused on emotions as social, cultural, political, and relational phenomena. Relevant for sociology of emotions and affective dimensions of social life.",High,Publications,https://bristoluniversitypressdigital.com/view/journals/emsoc/emsoc-overview.xml,emotions; affect; culture; politics; journal,Mixed access / subscription,English,International,Verified official source,Could be linked as a journal resource; selected articles may be open access.,0,External
RC42-R008,Publications,On the Justice of Earnings: A New Specification of the Justice Evaluation Function,Guillermina Jasso / American Journal of Sociology,Journal article,"Classic article in justice evaluation theory. Relevant for distributive justice, inequality, social comparison, and mathematical sociology in social psychology.",High,Publications,https://www.journals.uchicago.edu/doi/10.1086/226706,justice; inequality; distributive justice; social comparison; classic article,Subscription / institutional access,English,International,Verified publisher source,Appears in the current RC42 website content; link to publisher DOI page.,0,RC42-linked
RC42-R009,Teaching Resources,Sociology & Social Psychology,Mary R. Rose / ASA TRAILS,Teaching resource collection,"TRAILS resource entry and related materials for teaching sociology and social psychology. Useful as a gateway to syllabi, assignments, and classroom activities.",High,Teaching Resources,https://trails.asanet.org/article/view/sociology-social-psychology,teaching; syllabus; assignments; sociological social psychology; TRAILS,Requires TRAILS/ASA access for some materials,English,Mostly United States; adaptable internationally,Verified official source,Good model for building RC42 member-contributed teaching resources.,5,External
RC42-R010,Teaching Resources,TRAILS: Teaching Resources and Innovations Library for Sociology,American Sociological Association,Teaching repository,"Peer-reviewed repository of sociology teaching materials, including syllabi, assignments, lectures, class activities, and assessments.",High,Teaching Resources,https://trails.asanet.org/,teaching; repository; pedagogy; syllabi; assignments; sociology,Requires account / mixed access,English,Mostly United States; adaptable internationally,Verified official source,Useful as a reference model and source for teaching-resource standards.,0,External
RC42-R011,Teaching Resources,Sociology 150: Sociological Social Psychology,"University of California, Berkeley",Syllabus,Open syllabus on micro-social processes and macro-social consequences in sociological social psychology. Useful model for an undergraduate course outline.,High,Teaching Resources,https://sociology.berkeley.edu/sites/default/files/documents/syllabi/Sp16/Sp16_Soc150_Powers%2CBrian.pdf,syllabus; interaction; self and society; symbolic interactionism; undergraduate teaching,Open PDF,English,United States; adaptable internationally,Verified institutional source,Older syllabus; still useful as a teaching example.,0,External
